table_name,column_name,data_type,udt_name,is_nullable,column_default,character_maximum_length
activity_logs,id,bigint,int8,NO,nextval('activity_logs_id_seq'::regclass),
activity_logs,user_id,uuid,uuid,YES,,
activity_logs,event_type,text,text,YES,,
activity_logs,target_type,text,text,YES,,
activity_logs,target_id,text,text,YES,,
activity_logs,created_at,timestamp with time zone,timestamptz,YES,now(),
app_settings,id,bigint,int8,NO,nextval('app_settings_id_seq'::regclass),
app_settings,key,text,text,NO,,
app_settings,value,text,text,YES,,
app_settings,label,text,text,YES,,
app_settings,group_name,text,text,YES,,
app_settings,updated_at,timestamp with time zone,timestamptz,YES,now(),
comments,id,bigint,int8,NO,,
comments,created_at,timestamp with time zone,timestamptz,NO,now(),
comments,post_id,bigint,int8,YES,,
comments,author_id,text,text,YES,,
comments,author_name,text,text,YES,,
comments,content,text,text,YES,,
exception_diseases,id,uuid,uuid,NO,gen_random_uuid(),
exception_diseases,insurer_name,text,text,NO,,
exception_diseases,disease_code,text,text,YES,,
exception_diseases,disease_name,text,text,NO,,
exception_diseases,is_available,text,text,YES,,
exception_diseases,condition,text,text,YES,,
exception_diseases,coverage,text,text,YES,,
exception_diseases,standard_date,date,date,YES,,
exception_diseases,raw_data,jsonb,jsonb,YES,,
exception_diseases,created_at,timestamp with time zone,timestamptz,YES,now(),
library,id,bigint,int8,NO,,
library,created_at,timestamp with time zone,timestamptz,NO,now(),
library,owner_id,text,text,YES,,
library,owner_email,text,text,YES,,
library,title,text,text,YES,,
library,description,text,text,YES,,
library,file_url,text,text,YES,,
library,link_url,text,text,YES,,
library,memo_text,text,text,YES,,
library,image_url,text,text,YES,,
library,scope,text,text,YES,,
news,id,uuid,uuid,NO,gen_random_uuid(),
news,title,text,text,NO,,
news,summary,text,text,YES,,
news,source,text,text,YES,,
news,url,text,text,YES,,
news,category,text,text,YES,'전체'::text,
news,published_at,date,date,YES,,
news,is_active,boolean,bool,YES,true,
news,created_at,timestamp with time zone,timestamptz,YES,now(),
posts,id,bigint,int8,NO,,
posts,created_at,timestamp with time zone,timestamptz,NO,now(),
posts,board_type,text,text,YES,''::text,
posts,category,text,text,YES,''::text,
posts,title,text,text,YES,''::text,
posts,content,text,text,YES,,
posts,author_id,text,text,YES,,
posts,author_name,text,text,YES,,
posts,organization_id,text,text,YES,,
posts,is_hub_visible,boolean,bool,YES,false,
posts,view_count,bigint,int8,YES,'0'::bigint,
posts,like_count,bigint,int8,YES,'0'::bigint,
posts,comment_count,bigint,int8,YES,'0'::bigint,
posts,is_anonymous,boolean,bool,YES,false,
posts,display_name,text,text,YES,,
posts,is_hidden,boolean,bool,YES,false,
posts,is_notice,boolean,bool,YES,false,
posts,attachments,text,text,YES,,
posts,insurer_name,text,text,YES,,
posts,product_category,text,text,YES,,
posts,patient_age,integer,int4,YES,,
posts,patient_gender,text,text,YES,,
posts,disease_name,text,text,YES,,
posts,diagnosis_timing,text,text,YES,,
posts,current_status,text,text,YES,,
quick_contents,id,bigint,int8,NO,,
quick_contents,tab_key,text,text,YES,,
quick_contents,tab_title,text,text,YES,,
quick_contents,sort_order,smallint,int2,YES,,
quick_contents,content_html,text,text,YES,,
quick_contents,is_active,boolean,bool,YES,true,
quick_contents,updated_at,timestamp with time zone,timestamptz,YES,,
quick_contents,search_text,text,text,YES,,
script_usage_logs,id,bigint,int8,NO,,
script_usage_logs,created_at,timestamp with time zone,timestamptz,NO,now(),
script_usage_logs,user_id,text,text,YES,,
script_usage_logs,script_title,text,text,YES,,
script_usage_logs,script_screen,text,text,YES,,
script_usage_logs,script_main,text,text,YES,,
scripts,id,bigint,int8,NO,,
scripts,created_at,timestamp with time zone,timestamptz,NO,now(),
scripts,owner_id,text,text,YES,,
scripts,owner_email,text,text,YES,,
scripts,title,text,text,YES,,
scripts,script_text,text,text,YES,,
scripts,highlight_text,text,text,YES,,
scripts,scope,text,text,YES,'personal'::text,
scripts,is_recommended,boolean,bool,YES,false,
scripts,recommended_by_role,text,text,YES,,
scripts,use_count,integer,int4,NO,0,
scripts,script_type,text,text,YES,,
scripts,top_category,text,text,YES,,
scripts,stage,text,text,YES,,
scripts,type,text,text,YES,,
scripts,is_active,boolean,bool,YES,true,
scripts,is_leader_pick,boolean,bool,YES,false,
scripts,html_block_id,text,text,YES,,
scripts,search_text,text,text,YES,,
scripts,is_sample,boolean,bool,YES,false,
scripts,sort_order,integer,int4,YES,999,
users,id,uuid,uuid,NO,gen_random_uuid(),
users,created_at,timestamp with time zone,timestamptz,NO,now(),
users,name,text,text,YES,,
users,phone,text,text,YES,,
users,email,text,text,YES,,
users,company,text,text,YES,,
users,role,text,text,YES,'member'::text,
users,team,text,text,YES,,
users,auth_user_id,uuid,uuid,YES,gen_random_uuid(),
users,branch,text,text,YES,,
users,plan,text,text,YES,,
