table_name,constraint_type,column_name,constraint_name
activity_logs,PRIMARY KEY,id,activity_logs_pkey
app_settings,PRIMARY KEY,id,app_settings_pkey
app_settings,UNIQUE,key,app_settings_key_key
comments,PRIMARY KEY,id,comments_pkey
exception_diseases,PRIMARY KEY,id,exception_diseases_pkey
library,PRIMARY KEY,id,library_pkey
news,PRIMARY KEY,id,news_pkey
posts,PRIMARY KEY,id,posts_pkey
quick_contents,PRIMARY KEY,id,quick_contents_pkey
script_usage_logs,PRIMARY KEY,id,script_usage_logs_pkey
scripts,PRIMARY KEY,id,scripts_pkey
users,PRIMARY KEY,id,users_pkey
users,PRIMARY KEY,id,users_pkey
